"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 29 22:43:29 BDT 2024","Thu Feb 29 22:43:29 BDT 2024","556","All Test Suite","H:/SQA Project/Automation01/PageObject_Model_Framework/PageObjectModel_Practice_Project/PageObjectModel_Practice_Project","testcases.TestLogin","testcases.TestLogin","testloginWithDataProvider","testloginWithDataProvider",""
"passed","Thu Feb 29 22:43:25 BDT 2024","Thu Feb 29 22:43:26 BDT 2024","605","All Test Suite","H:/SQA Project/Automation01/PageObject_Model_Framework/PageObjectModel_Practice_Project/PageObjectModel_Practice_Project","testcases.TestLogin","testcases.TestLogin","testloginWithoutUserId","testloginWithoutUserId",""
"passed","Thu Feb 29 22:43:12 BDT 2024","Thu Feb 29 22:43:16 BDT 2024","3832","All Test Suite","H:/SQA Project/Automation01/PageObject_Model_Framework/PageObjectModel_Practice_Project/PageObjectModel_Practice_Project","testcases.TestCheckOut","testcases.TestCheckOut","purchaseProduct","purchaseProduct",""
"passed","Thu Feb 29 22:43:22 BDT 2024","Thu Feb 29 22:43:24 BDT 2024","1762","All Test Suite","H:/SQA Project/Automation01/PageObject_Model_Framework/PageObjectModel_Practice_Project/PageObjectModel_Practice_Project","testcases.TestLogin","testcases.TestLogin","testloginWithValidCrendentials","Test with valid credentials","User trying to login with valid username and password"
"passed","Thu Feb 29 22:43:27 BDT 2024","Thu Feb 29 22:43:28 BDT 2024","615","All Test Suite","H:/SQA Project/Automation01/PageObject_Model_Framework/PageObjectModel_Practice_Project/PageObjectModel_Practice_Project","testcases.TestLogin","testcases.TestLogin","testloginWithDataProvider","testloginWithDataProvider",""
"passed","Thu Feb 29 22:43:12 BDT 2024","Thu Feb 29 22:43:15 BDT 2024","2852","All Test Suite","H:/SQA Project/Automation01/PageObject_Model_Framework/PageObjectModel_Practice_Project/PageObjectModel_Practice_Project","testcases.TestProductPage","testcases.TestProductPage","testProductDetails","testProductDetails",""
"passed","Thu Feb 29 22:43:28 BDT 2024","Thu Feb 29 22:43:29 BDT 2024","446","All Test Suite","H:/SQA Project/Automation01/PageObject_Model_Framework/PageObjectModel_Practice_Project/PageObjectModel_Practice_Project","testcases.TestLogin","testcases.TestLogin","testloginWithDataProvider","testloginWithDataProvider",""
"passed","Thu Feb 29 22:43:26 BDT 2024","Thu Feb 29 22:43:27 BDT 2024","908","All Test Suite","H:/SQA Project/Automation01/PageObject_Model_Framework/PageObjectModel_Practice_Project/PageObjectModel_Practice_Project","testcases.TestLogin","testcases.TestLogin","testloginWithDataProvider","testloginWithDataProvider",""
"passed","Thu Feb 29 22:43:28 BDT 2024","Thu Feb 29 22:43:28 BDT 2024","466","All Test Suite","H:/SQA Project/Automation01/PageObject_Model_Framework/PageObjectModel_Practice_Project/PageObjectModel_Practice_Project","testcases.TestLogin","testcases.TestLogin","testloginWithDataProvider","testloginWithDataProvider",""
"passed","Thu Feb 29 22:43:25 BDT 2024","Thu Feb 29 22:43:25 BDT 2024","508","All Test Suite","H:/SQA Project/Automation01/PageObject_Model_Framework/PageObjectModel_Practice_Project/PageObjectModel_Practice_Project","testcases.TestLogin","testcases.TestLogin","testloginWithoutUserIdandPassword","testloginWithoutUserIdandPassword",""
"passed","Thu Feb 29 22:43:12 BDT 2024","Thu Feb 29 22:43:22 BDT 2024","10378","All Test Suite","H:/SQA Project/Automation01/PageObject_Model_Framework/PageObjectModel_Practice_Project/PageObjectModel_Practice_Project","testcases.TestLogin","testcases.TestLogin","testLogin","testLogin",""
"passed","Thu Feb 29 22:43:24 BDT 2024","Thu Feb 29 22:43:25 BDT 2024","673","All Test Suite","H:/SQA Project/Automation01/PageObject_Model_Framework/PageObjectModel_Practice_Project/PageObjectModel_Practice_Project","testcases.TestLogin","testcases.TestLogin","testloginWithInvalidPassword","testloginWithInvalidPassword",""
"passed","Thu Feb 29 22:43:28 BDT 2024","Thu Feb 29 22:43:28 BDT 2024","458","All Test Suite","H:/SQA Project/Automation01/PageObject_Model_Framework/PageObjectModel_Practice_Project/PageObjectModel_Practice_Project","testcases.TestLogin","testcases.TestLogin","testloginWithDataProvider","testloginWithDataProvider",""
"passed","Thu Feb 29 22:43:15 BDT 2024","Thu Feb 29 22:43:16 BDT 2024","1078","All Test Suite","H:/SQA Project/Automation01/PageObject_Model_Framework/PageObjectModel_Practice_Project/PageObjectModel_Practice_Project","testcases.TestProductPage","testcases.TestProductPage","testAddCart","testAddCart",""
